,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2018-06-26,S50M18C1000,55.1,65.2,55.1,65.2,65.1,41,22.0
1,2018-06-27,S50M18C1000,0,0,0,0,60.5,0,22.0
2,2018-06-28,S50M18C1000,0,0,0,0,1062.46,0,22.0
3,2018-06-20,S50M18C1025,51.3,64.0,48.9,64.0,64.0,129,106.0
4,2018-06-21,S50M18C1025,53.3,53.3,52.3,52.3,48.7,2,105.0
5,2018-06-22,S50M18C1025,51.7,57.1,50.1,50.1,48.1,68,160.0
6,2018-06-25,S50M18C1025,41.5,41.5,38.4,38.4,38.4,28,160.0
7,2018-06-26,S50M18C1025,0,0,0,0,40.1,0,160.0
8,2018-06-27,S50M18C1025,47.3,47.3,36.6,38.4,38.4,69,225.0
9,2018-06-28,S50M18C1025,0,0,0,0,1062.46,0,225.0
10,2018-06-19,S50M18C1050,38.7,38.7,24.0,24.0,24.0,132,120.0
11,2018-06-20,S50M18C1050,28.0,43.7,27.2,41.0,41.0,166,262.0
12,2018-06-21,S50M18C1050,45.0,45.0,21.5,25.0,25.0,131,265.0
13,2018-06-22,S50M18C1050,29.7,33.3,22.6,25.0,25.0,77,256.0
14,2018-06-25,S50M18C1050,29.5,29.6,14.7,15.5,15.5,110,225.0
15,2018-06-26,S50M18C1050,10.0,21.0,8.2,19.0,19.0,96,221.0
16,2018-06-27,S50M18C1050,20.8,25.2,12.0,14.0,14.0,115,228.0
17,2018-06-28,S50M18C1050,15.0,17.0,8.2,12.1,1062.46,89,261.0
18,2017-12-28,S50M18C1075,0,0,0,0,52.3,0,0.0
19,2017-12-29,S50M18C1075,0,0,0,0,57.1,0,0.0
20,2018-01-03,S50M18C1075,79.2,83.0,78.0,83.0,80.9,11,11.0
21,2018-01-04,S50M18C1075,86.4,93.0,86.4,93.0,91.5,2,12.0
22,2018-01-05,S50M18C1075,0,0,0,0,90.8,0,12.0
23,2018-01-08,S50M18C1075,0,0,0,0,87.3,0,12.0
24,2018-01-09,S50M18C1075,0,0,0,0,88.6,0,12.0
25,2018-01-10,S50M18C1075,0,0,0,0,87.0,0,12.0
26,2018-01-11,S50M18C1075,0,0,0,0,92.1,0,12.0
27,2018-01-12,S50M18C1075,0,0,0,0,96.7,0,12.0
28,2018-01-15,S50M18C1075,0,0,0,0,109.2,0,12.0
29,2018-01-16,S50M18C1075,113.5,113.5,113.5,113.5,107.6,1,12.0
30,2018-01-17,S50M18C1075,0,0,0,0,110.0,0,12.0
31,2018-01-18,S50M18C1075,0,0,0,0,103.4,0,12.0
32,2018-01-19,S50M18C1075,0,0,0,0,103.8,0,12.0
